run_id,phase,kind,axis,scene,ate_rmse,rpe_trans_rmse,rpe_rot_deg_rmse,mean_test_psnr,mean_test_lpips,n_frames,sync_accepted,run_dir
short_freiburg1_desk_baseline_spf50,short,training,baseline_spf50,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_baseline_spf50
short_freiburg1_desk_baseline_spf150,short,training,baseline_spf150,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_baseline_spf150
short_freiburg1_desk_cap50000,short,training,cap50000,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_cap50000
short_freiburg1_desk_cap100000,short,training,cap100000,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_cap100000
short_freiburg1_desk_cap200000,short,training,cap200000,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_cap200000
short_freiburg1_desk_cap400000,short,training,cap400000,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_cap400000
short_freiburg1_desk_score_alpha_only,short,training,score_alpha_only,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_alpha_only
short_freiburg1_desk_score_depth_gap_only,short,training,score_depth_gap_only,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_depth_gap_only
short_freiburg1_desk_score_weighted_topk,short,training,score_weighted_topk,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_weighted_topk
short_freiburg1_desk_score_alpha0.2,short,training,score_alpha0.2,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_alpha0.2
short_freiburg1_desk_score_alpha0.5,short,training,score_alpha0.5,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_score_alpha0.5
short_freiburg1_desk_promote_support1,short,training,promote_support1,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support1
short_freiburg1_desk_promote_support3,short,training,promote_support3,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support3
short_freiburg1_desk_promote_support4,short,training,promote_support4,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_support4
short_freiburg1_desk_promote_age10,short,training,promote_age10,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_age10
short_freiburg1_desk_promote_age40,short,training,promote_age40,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_age40
short_freiburg1_desk_promote_opacity0.1,short,training,promote_opacity0.1,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_opacity0.1
short_freiburg1_desk_promote_opacity0.6,short,training,promote_opacity0.6,freiburg1_desk,,,,,,,,output/tum_ablation_sweeps/tum_short_focus_20260520/runs/short_freiburg1_desk_promote_opacity0.6
